,RestroName,FullAddress,Street,Locality,Region,Zipcode,Phone,Categories
0,Italian Fiesta Pizzeria,"1919 E 71st St, Chicago, IL 60649",NA,NA,NA,NA,NA,"PizzaRestaurants
"
1,Chicago's Pizza,"1919 W Montrose Ave, Chicago, IL 60613",NA,NA,NA,NA,NA,"PizzaRestaurants
"
2,Domino's® $5.99 Deal,,NA,NA,NA,NA,NA,NA
3,Little Caesars® $5 Pizza,,NA,NA,NA,NA,NA,NA
4,Pizza Hut,"5320 N Broadway StChicago, IL 60640",5320 N Broadway St,"Chicago, ",IL,60640,(773)-878-1816,"PizzaRestaurantsChicken Restaurants
"
5,Italian Fiesta Pizzeria,"8058 S Halsted StChicago, IL 60620",8058 S Halsted St,"Chicago, ",IL,60620,(773)-906-3989,"PizzaRestaurants
"
6,Chicago's Pizza,"1919 W Montrose AveChicago, IL 60613",1919 W Montrose Ave,"Chicago, ",IL,60613,(773)-372-1946,"PizzaRestaurants
"
7,Dino's Pizzeria,"7004 W Higgins AveChicago, IL 60656",7004 W Higgins Ave,"Chicago, ",IL,60656,(773)-763-4077,"PizzaParty PlanningRestaurants
"
8,Dino's Pizzeria,"7004 W Higgins AveChicago, IL 60656",7004 W Higgins Ave,"Chicago, ",IL,60656,(773)-466-9775,"Pizza
"
9,Italian Fiesta Pizzeria,"1919 E 71st StChicago, IL 60649",1919 E 71st St,"Chicago, ",IL,60649,(773)-570-5228,"PizzaRestaurants
"
10,Pizza Hut,"4925 W North AveChicago, IL 60639",4925 W North Ave,"Chicago, ",IL,60639,(773)-489-3969,"PizzaFood Delivery Service
"
11,Pizza Hut,"3009 N Clark StChicago, IL 60657",3009 N Clark St,"Chicago, ",IL,60657,(773)-657-4135,"PizzaFood Delivery ServiceRestaurants
"
12,Pizza Hut,"2337 W Cermak RdChicago, IL 60608",2337 W Cermak Rd,"Chicago, ",IL,60608,(773)-376-8858,"PizzaRestaurant Delivery Service
"
13,Pizza Hut,"1225 W Fullerton AveChicago, IL 60614",1225 W Fullerton Ave,"Chicago, ",IL,60614,(773)-382-8991,"PizzaFood Delivery Service
"
14,Pizza Hut,"4019 E 106th StChicago, IL 60617",4019 E 106th St,"Chicago, ",IL,60617,(773)-374-7233,"PizzaFood Delivery ServiceRestaurants
"
15,Marcellos Father and Son Restaurant,"645 W North AveChicago, IL 60610",645 W North Ave,"Chicago, ",IL,60610,(312)-767-9774,"PizzaCaterersRestaurants
"
16,Villa Palermo Pizza,"2154 W Devon AveChicago, IL 60659",2154 W Devon Ave,"Chicago, ",IL,60659,(855)-730-6063,"PizzaCaterersRestaurants
"
17,Barneys Pizzeria,"11101 S Halsted StChicago, IL 60628",11101 S Halsted St,"Chicago, ",IL,60628,(708)-730-4172,"PizzaRestaurants
"
18,Beggars Pizza,"5133 S Cicero AveChicago, IL 60632",5133 S Cicero Ave,"Chicago, ",IL,60632,(773)-938-5645,"PizzaRestaurantsCaterers
"
19,Chicago Pizza & Oven Grinder,"2121 N Clark StChicago, IL 60614",2121 N Clark St,"Chicago, ",IL,60614,(773)-248-2570,"PizzaItalian Restaurants
"
20,Giordano's,"6314 S Cicero AveChicago, IL 60638",6314 S Cicero Ave,"Chicago, ",IL,60638,(773)-585-6100,"PizzaRestaurantsItalian Restaurants
"
21,Pat's Pizzeria,"628 S Clark StChicago, IL 60605",628 S Clark St,"Chicago, ",IL,60605,(312)-427-2320,"PizzaItalian RestaurantsRestaurants
"
22,Damenzo's Pizza,"2324 W Taylor StChicago, IL 60612",2324 W Taylor St,"Chicago, ",IL,60612,(312)-421-1142,"PizzaItalian RestaurantsRestaurants
"
23,Papa John's Pizza,"1151 W Taylor StChicago, IL 60607",1151 W Taylor St,"Chicago, ",IL,60607,(312)-733-7272,"PizzaRestaurantsTake Out Restaurants
"
24,Al's Pizza Chicago,"6344 W Irving Park RdChicago, IL 60634",6344 W Irving Park Rd,"Chicago, ",IL,60634,(773)-282-8600,"PizzaItalian RestaurantsCaterers
"
25,Bella Vita,"3737 W Grand AveChicago, IL 60651",3737 W Grand Ave,"Chicago, ",IL,60651,(773)-278-2332,"PizzaCaterersRestaurants
"
26,Reggio's Pizza Corp Ofc,"340 W 83rd StChicago, IL 60620",340 W 83rd St,"Chicago, ",IL,60620,(773)-488-1411,"PizzaFast Food RestaurantsRestaurants
"
27,Congress Pizzeria,"2033 N Milwaukee AveChicago, IL 60647",2033 N Milwaukee Ave,"Chicago, ",IL,60647,(773)-235-4455,"PizzaItalian Restaurants
"
28,Antica Pizzeria,"5663 N Clark StChicago, IL 60660",5663 N Clark St,"Chicago, ",IL,60660,(773)-944-1492,"PizzaCaterersItalian Restaurants
"
29,Beggar's Pizza,"8100 S Stony Island AveChicago, IL 60617",8100 S Stony Island Ave,"Chicago, ",IL,60617,(773)-221-2500,"PizzaCaterersRestaurants
"
30,Chuchi's Pizza,"2809 W 55th StChicago, IL 60632",2809 W 55th St,"Chicago, ",IL,60632,(773)-306-2227,"PizzaRestaurants
"
31,Big Tony's Pizza II,"3732 W 59th StChicago, IL 60629",3732 W 59th St,"Chicago, ",IL,60629,(773)-767-5966,"PizzaItalian RestaurantsRestaurants
"
32,Pauly's Pizzaria State,"719 S State StChicago, IL 60605",719 S State St,"Chicago, ",IL,60605,(312)-957-1111,"PizzaAmerican Restaurants
"
33,Vince's Pizza,"6217 W 63rd StChicago, IL 60638",6217 W 63rd St,"Chicago, ",IL,60638,(773)-586-8550,"PizzaCaterersRestaurants
"
34,Domino's® $5.99 Deal,,NA,NA,NA,NA,NA,NA
35,Little Caesars® $5 Pizza,,NA,NA,NA,NA,NA,NA
36,Dino's Pizzeria,"7004 W Higgins Ave, Chicago, IL 60656",NA,NA,NA,NA,NA,NA
37,Pizza Hut,"3009 N Clark St, Chicago, IL 60657",NA,NA,NA,NA,NA,NA
38,Dino's Pizzeria,"7004 W Higgins Ave, Chicago, IL 60656",NA,NA,NA,NA,NA,NA
39,Italian Fiesta Pizzeria,"1919 E 71st St, Chicago, IL 60649",NA,NA,NA,NA,NA,NA
40,Pizza Hut,"1225 W Fullerton Ave, Chicago, IL 60614",NA,NA,NA,NA,NA,NA
41,Pizza Hut,"2337 W Cermak Rd, Chicago, IL 60608",NA,NA,NA,NA,NA,NA
42,Pizza Hut,"4925 W North Ave, Chicago, IL 60639",NA,NA,NA,NA,NA,NA
43,Pizza Hut,"5320 N Broadway St, Chicago, IL 60640",NA,NA,NA,NA,NA,NA
44,Pizza Hut,"7060 W Forest Preserve Dr, Norridge, IL 60706",NA,NA,NA,NA,NA,NA
45,Pizza Hut,"4019 E 106th St, Chicago, IL 60617",NA,NA,NA,NA,NA,NA
46,Fireside Restaurant & Lounge,"5739 N Ravenswood Ave, Chicago, IL 60660",NA,NA,NA,NA,NA,NA
47,Original Pizza,"9156 S Stony Island AveChicago, IL 60617",9156 S Stony Island Ave,"Chicago, ",IL,60617,(773)-374-9100,"PizzaItalian Restaurants
"
48,Eastern Style Pizza,"2911 W Touhy AveChicago, IL 60645",2911 W Touhy Ave,"Chicago, ",IL,60645,(773)-761-4070,"PizzaCaterersRestaurants
"
49,Bartoli's Pizzeria,"1955 W Addison StChicago, IL 60613",1955 W Addison St,"Chicago, ",IL,60613,(773)-248-0455,"PizzaRestaurants
"
50,Pauly's Pizza Ria,"1746 W Grand AveChicago, IL 60622",1746 W Grand Ave,"Chicago, ",IL,60622,(312)-243-4444,"PizzaCaterersRestaurants
"
51,Morrison's Authentic Southern Cooking,"8139 S Ashland AveChicago, IL 60620",8139 S Ashland Ave,"Chicago, ",IL,60620,(773)-487-7390,"PizzaAmerican RestaurantsRestaurants
"
52,Cipriani's Pizza,"5840 W 63rd StChicago, IL 60638",5840 W 63rd St,"Chicago, ",IL,60638,(773)-582-3747,"PizzaCaterersItalian Restaurants
"
53,Pizzeria Deepo,"1742 W 99th StChicago, IL 60643",1742 W 99th St,"Chicago, ",IL,60643,(773)-840-3087,"PizzaRestaurants
"
